ticker,date,return
A,2018-02-01,-0.06591333180265735
A,2018-03-01,-0.02463884332722377
A,2018-04-01,-0.017339419906138964
A,2018-05-01,-0.05600522709466782
A,2018-06-01,-0.0012919194639687825
A,2018-07-01,0.06791722898394625
A,2018-08-01,0.025183628460756058
A,2018-09-01,0.04441802590338484
A,2018-10-01,-0.08151407388035548
A,2018-11-01,0.11904841173791647
A,2018-12-01,-0.0675880942503545
A,2019-01-01,0.13012265195290884
A,2019-02-01,0.0445761346595952
A,2019-03-01,0.011832764933665363
A,2019-04-01,-0.02338907500456011
A,2019-05-01,-0.14411344959658345
A,2019-06-01,0.11364659046157422
A,2019-07-01,-0.0704435421782782
A,2019-08-01,0.02674734782576138
A,2019-09-01,0.0776261850153721
A,2019-10-01,-0.00935692545224276
A,2019-11-01,0.06627077835614403
A,2019-12-01,0.05620883003247523
A,2020-01-01,-0.030191898498215686
A,2020-02-01,-0.06649703386356731
A,2020-03-01,-0.07071478371940854
A,2020-04-01,0.07309561733543934
A,2020-05-01,0.1497517963432793
A,2020-06-01,0.0026097492190035876
A,2020-07-01,0.09236472769791404
A,2020-08-01,0.04245813284261457
A,2020-09-01,0.005178492025327053
A,2020-10-01,0.011392507000167917
A,2020-11-01,0.1471328971829713
A,2020-12-01,0.013601345050557878
A,2021-01-01,0.014178362230096386
A,2021-02-01,0.0174768910561518
A,2021-03-01,0.04153338875542634
A,2021-04-01,0.051125187489928337
A,2021-05-01,0.03516998343776523
A,2021-06-01,0.07007906461753266
A,2021-07-01,0.03666878387001926
A,2021-08-01,0.14664630514350963
A,2021-09-01,-0.10223960709565083
A,2021-10-01,-0.00025399726449137905
A,2021-11-01,-0.04065068558765117
A,2021-12-01,0.057985299489817566
A,2022-01-01,-0.12734115169030902
A,2022-02-01,-0.06307971988453431
A,2022-03-01,0.015112031942646542
A,2022-04-01,-0.09869294912275528
A,2022-05-01,0.07118534358127815
A,2022-06-01,-0.06890875821663889
A,2022-07-01,0.1290731891545287
A,2022-08-01,-0.04193022924137624
A,2022-09-01,-0.05224165916820733
A,2022-10-01,0.13821478146413102
A,2022-11-01,0.12214098975526855
A,2022-12-01,-0.03439151469067181
A,2023-01-01,0.017753389754376014
A,2023-02-01,-0.06647814068710267
A,2023-03-01,-0.0255688985593856
A,2023-04-01,-0.021034994684403063
A,2023-05-01,-0.14451420996565023
A,2023-06-01,0.03959535054896213
A,2023-07-01,0.014574068941780371
A,2023-08-01,-0.005748460870883876
A,2023-09-01,-0.07640208196453613
A,2023-10-01,-0.07556797952644567
A,2023-11-01,0.2388281971405697
A,2023-12-01,0.08787161362616525
A,2024-01-01,-0.06264790805859632
A,2024-02-01,0.055803205632882324
A,2024-03-01,0.05933309111242879
A,2024-04-01,-0.058208949514821806
A,2024-05-01,-0.04683421416769751
A,2024-06-01,-0.005981089473935941
A,2024-07-01,0.09079689015224401
A,2024-08-01,0.01262535045401414
A,2024-09-01,0.03890290852802636
A,2024-10-01,-0.12237325009154676
A,2024-11-01,0.06046843287476755
A,2024-12-01,-0.026310229540957075
