ticker,firm,state,hq_lat,hq_lon,state_name,state_code,county_name,county_fips
BR,Broadridge Financial Solutions,NJ,40.7706572,-73.7176312,New York,NY,Nassau County,36059
BRO,Brown & Brown,FL,29.2108147,-81.0228331,Florida,FL,Volusia County,12127
BF.B,Brown–Forman,KY,38.2542376,-85.759407,Kentucky,KY,Jefferson County,21111
BLDR,Builders FirstSource,TX,32.8295183,-96.9442177,Texas,TX,Dallas County,48113
BG,Bunge Global,MO,38.661953,-90.5643258,Missouri,MO,St. Louis County,29189
BXP,"BXP, Inc.",MA,42.3554334,-71.060511,Massachusetts,MA,Suffolk County,25025
CHRW,C.H. Robinson,MN,44.8546856,-93.470786,Minnesota,MN,Hennepin County,27053
CDNS,Cadence Design Systems,CA,37.3361663,-121.890591,California,CA,Santa Clara County,06085
CZR,Caesars Entertainment,NV,39.5261788,-119.812658,Nevada,NV,Washoe County,32031
CPT,Camden Property Trust,LA,29.7589382,-95.3676974,Texas,TX,Harris County,48201
CPB,Campbell's Company (The),NJ,39.9448402,-75.1198911,New Jersey,NJ,Camden County,34007
COF,Capital One,DC,38.9191272,-77.2229636,Virginia,VA,Fairfax County,51059
CAH,Cardinal Health,OH,40.0996009,-83.1135563,Ohio,OH,Franklin County,39049
KMX,CarMax,VA,37.5385087,-77.43428,Virginia,VA,Richmond city,51760
CCL,Carnival,FL,25.7741566,-80.1935973,Florida,FL,Miami-Dade County,12086
CARR,Carrier Global,FL,26.8233946,-80.1386547,Florida,FL,Palm Beach County,12099
CAT,Caterpillar Inc.,TX,32.8295183,-96.9442177,Texas,TX,Dallas County,48113
CBOE,Cboe Global Markets,IL,41.8755616,-87.6244212,Illinois,IL,Cook County,17031
CBRE,CBRE Group,TX,32.7762719,-96.7968559,Texas,TX,Dallas County,48113
CDW,CDW Corporation,WI,42.2373152,-87.9649487,Illinois,IL,Lake County,17097
COR,Cencora,NJ,40.0792766,-75.3015714,Pennsylvania,PA,Montgomery County,42091
CNC,Centene Corporation,MO,38.6280278,-90.1910154,Missouri,MO,St. Louis city,29510
CNP,CenterPoint Energy,LA,29.7589382,-95.3676974,Texas,TX,Harris County,48201
CF,CF Industries,WI,42.1711365,-87.8445119,Illinois,IL,Lake County,17097
CRL,Charles River Laboratories,MA,42.5464828,-71.1736669,Massachusetts,MA,Middlesex County,25017
SCHW,Charles Schwab Corporation,OK,32.991226,-97.1943701,Texas,TX,Denton County,48121
CHTR,Charter Communications,CT,41.0534302,-73.5387341,Connecticut,CT,Fairfield County,09001
CVX,Chevron Corporation,CA,37.7648021,-121.9544387,California,CA,Contra Costa County,06013
CMG,Chipotle Mexican Grill,CA,33.6170092,-117.9294401,California,CA,Orange County,06059
CHD,Church & Dwight,NJ,40.2688105,-74.8006895,New Jersey,NJ,Mercer County,34021
CI,Cigna,CT,41.8313002,-72.7370265,Connecticut,CT,Hartford County,09003
CINF,Cincinnati Financial,OH,39.7886111,-82.6418883,Ohio,OH,Fairfield County,39045
CTAS,Cintas,OH,39.3600586,-84.309939,Ohio,OH,Warren County,39165
CSCO,Cisco,CA,37.3361663,-121.890591,California,CA,Santa Clara County,06085
C,Citigroup,NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
CFG,Citizens Financial Group,RI,41.8239891,-71.4128343,Rhode Island,RI,Providence County,44007
CLX,Clorox,CA,37.8044557,-122.271356,California,CA,Alameda County,06001
CME,CME Group,IL,41.8755616,-87.6244212,Illinois,IL,Cook County,17031
CMS,CMS Energy,IN,42.2416466,-84.425589,Michigan,MI,Jackson County,26075
KO,Coca-Cola Company (The),GA,33.7544657,-84.3898151,Georgia,GA,Fulton County,13121
CTSH,Cognizant,NJ,40.8860164,-74.0072568,New Jersey,NJ,Bergen County,34003
COIN,Coinbase,NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
CL,Colgate-Palmolive,NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
CMCSA,Comcast,NJ,39.9527237,-75.1635262,Pennsylvania,PA,Philadelphia County,42101
CAG,Conagra Brands,IL,41.8755616,-87.6244212,Illinois,IL,Cook County,17031
COP,ConocoPhillips,LA,29.7589382,-95.3676974,Texas,TX,Harris County,48201
STZ,Constellation Brands,PA,43.157285,-77.615214,New York,NY,Monroe County,36055
CEG,Constellation Energy,MD,39.2908816,-76.610759,Maryland,MD,Baltimore city,24510
COO,Cooper Companies (The),CA,37.7648021,-121.9544387,California,CA,Contra Costa County,06013
CPRT,Copart,TX,32.7762719,-96.7968559,Texas,TX,Dallas County,48113
GLW,Corning Inc.,PA,42.1435257,-77.0543408,New York,NY,Steuben County,36101
CPAY,Corpay,GA,33.7544657,-84.3898151,Georgia,GA,Fulton County,13121
CTVA,Corteva,IN,39.7683331,-86.1583502,Indiana,IN,Marion County,18097
CSGP,CoStar Group,DC,38.8950368,-77.0365427,District of Columbia,DC,District of Columbia,11001
COST,Costco,WA,47.5348778,-122.043297,Washington,WA,King County,53033
CTRA,Coterra,LA,29.7589382,-95.3676974,Texas,TX,Harris County,48201
CRWD,CrowdStrike,TX,30.2711286,-97.7436995,Texas,TX,Travis County,48453
CCI,Crown Castle,LA,29.7589382,-95.3676974,Texas,TX,Harris County,48201
CSX,CSX Corporation,GA,30.3321838,-81.655651,Florida,FL,Duval County,12031
CMI,Cummins,IN,39.2014405,-85.9213796,Indiana,IN,Bartholomew County,18005
CVS,CVS Health,MA,42.0028761,-71.5147839,Rhode Island,RI,Providence County,44007
DHR,Danaher Corporation,DC,38.8950368,-77.0365427,District of Columbia,DC,District of Columbia,11001
DRI,Darden Restaurants,FL,28.5421218,-81.379045,Florida,FL,Orange County,12095
DDOG,Datadog,NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
DVA,DaVita,CO,39.7392364,-104.984862,Colorado,CO,Denver County,08031
DAY,Dayforce,MN,44.9772995,-93.2654692,Minnesota,MN,Hennepin County,27053
DECK,Deckers Brands,CA,34.4358295,-119.8276389,California,CA,Santa Barbara County,06083
DE,Deere & Company,IL,41.5058344,-90.5136642,Illinois,IL,Rock Island County,17161
DELL,Dell Technologies,TX,30.5085915,-97.6788056,Texas,TX,Williamson County,48491
DAL,Delta Air Lines,GA,33.7544657,-84.3898151,Georgia,GA,Fulton County,13121
DVN,Devon Energy,OK,35.4729886,-97.5170536,Oklahoma,OK,Oklahoma County,40109
DXCM,Dexcom,CA,32.7174202,-117.162772,California,CA,San Diego County,06073
FANG,Diamondback Energy,TX,31.83688,-102.0103767,Texas,TX,Midland County,48329
DG,Dollar General,TN,36.3231067,-86.7133302,Tennessee,TN,Davidson County,47037
DLTR,Dollar Tree,VA,36.7168315,-76.2494453,Virginia,VA,Chesapeake city,51550
D,Dominion Energy,VA,37.5385087,-77.43428,Virginia,VA,Richmond city,51760
DASH,DoorDash,CA,37.7932754,-122.3963589,California,CA,San Francisco County,06075
DOV,Dover Corporation,IL,41.7936822,-88.0102281,Illinois,IL,DuPage County,17043
DHI,D. R. Horton,TX,32.7355816,-97.1071186,Texas,TX,Tarrant County,48439
DTE,DTE Energy,OH,42.3315509,-83.0466403,Michigan,MI,Wayne County,26163
DUK,Duke Energy,SC,35.2272086,-80.8430827,North Carolina,NC,Mecklenburg County,37119
EMN,Eastman Chemical Company,KY,36.550238,-82.5594293,Tennessee,TN,Sullivan County,47163
ETN,Eaton Corporation,KY,38.4168505,-86.9969385,Indiana,IN,Dubois County,18037
EBAY,eBay Inc.,CA,37.3361663,-121.890591,California,CA,Santa Clara County,06085
ECL,Ecolab,MN,44.9497487,-93.0931028,Minnesota,MN,Ramsey County,27123
EIX,Edison International,CA,34.0676169,-118.0879763,California,CA,Los Angeles County,06037
EW,Edwards Lifesciences,CA,33.6856969,-117.825981,California,CA,Orange County,06059
ELV,Elevance Health,IN,39.7683331,-86.1583502,Indiana,IN,Marion County,18097
EMR,Emerson Electric,MO,38.744707,-90.3038975,Missouri,MO,St. Louis County,29189
ENPH,Enphase Energy,CA,37.5482697,-121.988571,California,CA,Alameda County,06001
ETR,Entergy,LA,29.9559145,-90.0730259,Louisiana,LA,Orleans Parish,22071
EOG,EOG Resources,LA,29.7589382,-95.3676974,Texas,TX,Harris County,48201
EPAM,EPAM Systems,NJ,40.2294046,-74.9365329,Pennsylvania,PA,Bucks County,42017
EQT,EQT Corporation,WV,40.4416941,-79.9900861,Pennsylvania,PA,Allegheny County,42003
EFX,Equifax,GA,33.7544657,-84.3898151,Georgia,GA,Fulton County,13121
EQIX,Equinix,CA,37.4863239,-122.232523,California,CA,San Mateo County,06081
EQR,Equity Residential,IL,41.8755616,-87.6244212,Illinois,IL,Cook County,17031
ERIE,Erie Indemnity,PA,42.1294712,-80.0852695,Pennsylvania,PA,Erie County,42049
ESS,Essex Property Trust,CA,37.496904,-122.3330573,California,CA,San Mateo County,06081
EL,Estée Lauder Companies (The),NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
EG,Everest Group,NC,35.9983557,-80.4341153,North Carolina,NC,Davie County,37059
EVRG,Evergy,MO,39.100105,-94.5781416,Missouri,MO,Jackson County,29095
ES,Eversource Energy,CT,41.764582,-72.6908547,Connecticut,CT,Hartford County,09003
EXC,Exelon,IL,41.8755616,-87.6244212,Illinois,IL,Cook County,17031
EXE,Expand Energy,OK,35.4729886,-97.5170536,Oklahoma,OK,Oklahoma County,40109
EXPE,Expedia Group,WA,47.6038321,-122.330062,Washington,WA,King County,53033
EXPD,Expeditors International,WA,47.6038321,-122.330062,Washington,WA,King County,53033
EXR,Extra Space Storage,UT,40.7596198,-111.886797,Utah,UT,Salt Lake County,49035
XOM,ExxonMobil,TX,32.8295183,-96.9442177,Texas,TX,Dallas County,48113
FFIV,"F5, Inc.",WA,47.6038321,-122.330062,Washington,WA,King County,53033
FDS,FactSet,CT,41.1175966,-73.4078968,Connecticut,CT,Fairfield County,09001
FICO,Fair Isaac,MT,45.6794293,-111.044047,Montana,MT,Gallatin County,30031
FAST,Fastenal,WI,44.0500054,-91.6392294,Minnesota,MN,Winona County,27169
FRT,Federal Realty Investment Trust,DC,39.0817985,-77.1516844,Maryland,MD,Montgomery County,24031
FDX,FedEx,AR,35.1460249,-90.0517638,Tennessee,TN,Shelby County,47157
FIS,Fidelity National Information Services,GA,30.3321838,-81.655651,Florida,FL,Duval County,12031
FITB,Fifth Third Bancorp,KY,39.1014537,-84.5124602,Ohio,OH,Hamilton County,39061
FSLR,First Solar,AZ,33.4255117,-111.940016,Arizona,AZ,Maricopa County,04013
FE,FirstEnergy,OH,41.083064,-81.518485,Ohio,OH,Summit County,39153
FI,Fiserv,WI,43.0615578,-88.1260678,Wisconsin,WI,Waukesha County,55133
F,Ford Motor Company,OH,42.3222599,-83.1763145,Michigan,MI,Wayne County,26163
FTNT,Fortinet,CA,37.3688301,-122.036349,California,CA,Santa Clara County,06085
FTV,Fortive,WA,47.9793437,-122.2127011,Washington,WA,Snohomish County,53061
FOXA,Fox Corporation (Class A),NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
FOX,Fox Corporation (Class B),NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
BEN,Franklin Resources,CA,37.496904,-122.3330573,California,CA,San Mateo County,06081
FCX,Freeport-McMoRan,AZ,33.4484367,-112.074141,Arizona,AZ,Maricopa County,04013
IT,Gartner,CT,41.0534302,-73.5387341,Connecticut,CT,Fairfield County,09001
GE,GE Aerospace,KY,39.2561691,-84.417997,Ohio,OH,Hamilton County,39061
GEHC,GE HealthCare,IL,41.8755616,-87.6244212,Illinois,IL,Cook County,17031
GEV,GE Vernova,MA,42.3656347,-71.1040018,Massachusetts,MA,Middlesex County,25017
GEN,Gen Digital,AZ,33.4255117,-111.940016,Arizona,AZ,Maricopa County,04013
GNRC,Generac,WI,43.0622536,-88.3123889,Wisconsin,WI,Waukesha County,55133
GD,General Dynamics,DC,38.882334,-77.1710914,Virginia,VA,Falls Church city,51610
GIS,General Mills,MN,44.9861176,-93.3784618,Minnesota,MN,Hennepin County,27053
GM,General Motors,OH,42.3315509,-83.0466403,Michigan,MI,Wayne County,26163
GPC,Genuine Parts Company,GA,33.7544657,-84.3898151,Georgia,GA,Fulton County,13121
GILD,Gilead Sciences,CA,37.5600336,-122.2688522,California,CA,San Mateo County,06081
GPN,Global Payments,GA,33.7544657,-84.3898151,Georgia,GA,Fulton County,13121
GL,Globe Life,OK,33.1976496,-96.6154471,Texas,TX,Collin County,48085
GDDY,GoDaddy,AZ,33.4255117,-111.940016,Arizona,AZ,Maricopa County,04013
GS,Goldman Sachs,NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
HAL,Halliburton,LA,29.7589382,-95.3676974,Texas,TX,Harris County,48201
HIG,Hartford (The),CT,41.764582,-72.6908547,Connecticut,CT,Hartford County,09003
HAS,Hasbro,RI,41.8789531,-71.3821203,Rhode Island,RI,Providence County,44007
HCA,HCA Healthcare,TN,36.1622767,-86.7742984,Tennessee,TN,Davidson County,47037
DOC,Healthpeak Properties,CO,39.7392364,-104.984862,Colorado,CO,Denver County,08031
HSIC,Henry Schein,CT,40.7835914,-73.4075575,New York,NY,Suffolk County,36103
HSY,Hershey Company (The),PA,40.2850285,-76.6534662,Pennsylvania,PA,Dauphin County,42043
HPE,Hewlett Packard Enterprise,LA,29.7589382,-95.3676974,Texas,TX,Harris County,48201
HLT,Hilton Worldwide,DC,38.9191272,-77.2229636,Virginia,VA,Fairfax County,51059
HOLX,Hologic,MA,42.3468589,-71.5525188,Massachusetts,MA,Middlesex County,25017
HD,Home Depot (The),GA,33.7544657,-84.3898151,Georgia,GA,Fulton County,13121
HON,Honeywell,SC,35.2272086,-80.8430827,North Carolina,NC,Mecklenburg County,37119
HRL,Hormel Foods,IA,43.6679992,-92.9746498,Minnesota,MN,Mower County,27099
HST,Host Hotels & Resorts,DC,38.9812726,-77.1233587,Maryland,MD,Montgomery County,24031
HWM,Howmet Aerospace,WV,40.4416941,-79.9900861,Pennsylvania,PA,Allegheny County,42003
HPQ,HP Inc.,CA,37.4443293,-122.1598465,California,CA,Santa Clara County,06085
HUBB,Hubbell Incorporated,CT,41.3546999,-73.1383092,Connecticut,CT,Fairfield County,09001
HUM,Humana,KY,38.2542376,-85.759407,Kentucky,KY,Jefferson County,21111
HBAN,Huntington Bancshares,OH,39.9622601,-83.0007065,Ohio,OH,Franklin County,39049
HII,Huntington Ingalls Industries,VA,36.9775016,-76.42977,Virginia,VA,Newport News city,51700
IBM,IBM,CT,41.132973,-73.7126064,New York,NY,Westchester County,36119
IEX,IDEX Corporation,WI,42.2586461,-87.8407055,Illinois,IL,Lake County,17097
IDXX,Idexx Laboratories,NH,43.6763036,-70.3663874,Maine,ME,Cumberland County,23005
ITW,Illinois Tool Works,WI,42.0700662,-87.8114044,Illinois,IL,Cook County,17031
INCY,Incyte,DE,39.7459468,-75.546589,Delaware,DE,New Castle County,10003
IR,Ingersoll Rand,NC,35.7902384,-80.2115053,North Carolina,NC,Davidson County,37057
PODD,Insulet Corporation,MA,42.4850931,-71.43284,Massachusetts,MA,Middlesex County,25017
INTC,Intel,CA,37.3541132,-121.955174,California,CA,Santa Clara County,06085
ICE,Intercontinental Exchange,GA,33.7544657,-84.3898151,Georgia,GA,Fulton County,13121
IFF,International Flavors & Fragrances,NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
IP,International Paper,AR,35.1460249,-90.0517638,Tennessee,TN,Shelby County,47157
IPG,Interpublic Group of Companies (The),NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
INTU,Intuit,CA,37.3893889,-122.0832101,California,CA,Santa Clara County,06085
ISRG,Intuitive Surgical,CA,37.3688301,-122.036349,California,CA,Santa Clara County,06085
IVZ,Invesco,GA,33.7544657,-84.3898151,Georgia,GA,Fulton County,13121
INVH,Invitation Homes,TX,32.7762719,-96.7968559,Texas,TX,Dallas County,48113
IQV,IQVIA,NC,35.996653,-78.9018053,North Carolina,NC,Durham County,37063
IRM,Iron Mountain,MA,42.3554334,-71.060511,Massachusetts,MA,Suffolk County,25025
JBHT,J.B. Hunt,AR,36.2553543,-94.1307587,Arkansas,AR,Benton County,05007
JBL,Jabil,FL,27.7712264,-82.6340259,Florida,FL,Pinellas County,12103
JKHY,Jack Henry & Associates,MO,36.9289518,-93.9277149,Missouri,MO,Lawrence County,29109
J,Jacobs Solutions,TX,32.7762719,-96.7968559,Texas,TX,Dallas County,48113
JNJ,Johnson & Johnson,NJ,40.4951365,-74.4439254,New Jersey,NJ,Middlesex County,34023
JPM,JPMorgan Chase,NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
K,Kellanova,IL,41.8755616,-87.6244212,Illinois,IL,Cook County,17031
KVUE,Kenvue,NJ,40.4234145,-74.7077882,New Jersey,NJ,Somerset County,34035
KDP,Keurig Dr Pepper,MA,42.5048167,-71.1956111,Massachusetts,MA,Middlesex County,25017
KEY,KeyCorp,OH,41.4996574,-81.6936772,Ohio,OH,Cuyahoga County,39035
KEYS,Keysight Technologies,CA,38.4404925,-122.7141049,California,CA,Sonoma County,06097
KMB,Kimberly-Clark,TX,32.8295183,-96.9442177,Texas,TX,Dallas County,48113
KIM,Kimco Realty,CT,40.78743,-73.5434608,New York,NY,Nassau County,36059
KMI,Kinder Morgan,LA,29.7589382,-95.3676974,Texas,TX,Harris County,48201
KKR,KKR & Co.,NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
KLAC,KLA Corporation,CA,37.4332273,-121.8989248,California,CA,Santa Clara County,06085
KHC,Kraft Heinz,IL,41.8755616,-87.6244212,Illinois,IL,Cook County,17031
KR,Kroger,KY,39.1014537,-84.5124602,Ohio,OH,Hamilton County,39061
LHX,L3Harris,FL,28.0785034,-80.6077908,Florida,FL,Brevard County,12009
LH,Labcorp,NC,36.0956918,-79.4377991,North Carolina,NC,Alamance County,37001
LRCX,Lam Research,CA,37.5482697,-121.988571,California,CA,Alameda County,06001
LW,Lamb Weston,ID,43.6954424,-116.3540138,Idaho,ID,Ada County,16001
LVS,Las Vegas Sands,NV,36.1674263,-115.1484131,Nevada,NV,Clark County,32003
LDOS,Leidos,DC,38.953282,-77.3464516,Virginia,VA,Fairfax County,51059
LEN,Lennar,FL,25.7741566,-80.1935973,Florida,FL,Miami-Dade County,12086
LII,Lennox International,OK,32.9481789,-96.7297206,Texas,TX,Dallas County,48113
LLY,Lilly (Eli),IN,39.7683331,-86.1583502,Indiana,IN,Marion County,18097
LYV,Live Nation Entertainment,CA,34.0696501,-118.3963062,California,CA,Los Angeles County,06037
LKQ,LKQ Corporation,IL,41.8755616,-87.6244212,Illinois,IL,Cook County,17031
LMT,Lockheed Martin,DC,38.9812726,-77.1233587,Maryland,MD,Montgomery County,24031
L,Loews Corporation,NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
LOW,Lowe's,NC,35.5848596,-80.8100724,North Carolina,NC,Iredell County,37097
LULU,Lululemon Athletica,ND,46.838675,-100.7904921,North Dakota,ND,Burleigh County,38015
LYB,LyondellBasell,,51.8879268,4.4906558,,,,
MTB,M&T Bank,PA,42.8867166,-78.8783922,New York,NY,Erie County,36029
MPC,Marathon Petroleum,OH,41.0413873,-83.6503982,Ohio,OH,Hancock County,39063
MKTX,MarketAxess,NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
MAR,Marriott International,DC,38.9812726,-77.1233587,Maryland,MD,Montgomery County,24031
MMC,Marsh McLennan,NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
MLM,Martin Marietta Materials,NC,35.7803977,-78.6390989,North Carolina,NC,Wake County,37183
MAS,Masco,OH,42.36837,-83.3527097,Michigan,MI,Wayne County,26163
MA,Mastercard,CT,40.9689871,-73.71263,New York,NY,Westchester County,36119
MTCH,Match Group,TX,32.7762719,-96.7968559,Texas,TX,Dallas County,48113
MKC,McCormick & Company,MD,39.4962709,-76.6542571,Maryland,MD,Baltimore County,24005
MCD,McDonald's,IL,41.8755616,-87.6244212,Illinois,IL,Cook County,17031
MCK,McKesson Corporation,TX,32.8295183,-96.9442177,Texas,TX,Dallas County,48113
MDT,Medtronic,KY,38.4168505,-86.9969385,Indiana,IN,Dubois County,18037
MRK,Merck & Co.,NJ,40.6771374,-74.2870715,New Jersey,NJ,Union County,34039
META,Meta Platforms,CA,37.4519671,-122.177992,California,CA,San Mateo County,06081
MET,MetLife,NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
MTD,Mettler Toledo,OH,39.9622601,-83.0007065,Ohio,OH,Franklin County,39049
MGM,MGM Resorts,NV,36.0724299,-115.1474759,Nevada,NV,Clark County,32003
MCHP,Microchip Technology,AZ,33.3062031,-111.841185,Arizona,AZ,Maricopa County,04013
MU,Micron Technology,ID,43.6166163,-116.200886,Idaho,ID,Ada County,16001
MSFT,Microsoft,WA,47.6694141,-122.1238767,Washington,WA,King County,53033
MAA,Mid-America Apartment Communities,AR,35.1460249,-90.0517638,Tennessee,TN,Shelby County,47157
MRNA,Moderna,MA,42.3656347,-71.1040018,Massachusetts,MA,Middlesex County,25017
MHK,Mohawk Industries,GA,31.5311784,-84.614328,Georgia,GA,Calhoun County,13037
MOH,Molina Healthcare,CA,33.7690164,-118.191604,California,CA,Los Angeles County,06037
TAP,Molson Coors Beverage Company,IL,41.8755616,-87.6244212,Illinois,IL,Cook County,17031
MDLZ,Mondelez International,IL,41.8755616,-87.6244212,Illinois,IL,Cook County,17031
MPWR,Monolithic Power Systems,WA,47.6765382,-122.2070775,Washington,WA,King County,53033
MNST,Monster Beverage,CA,33.8752945,-117.566444,California,CA,Riverside County,06065
